,Rank,Song,Artist,Album,Release Date,Popularity,Duration (ms),Explicit,Track ID,Preview URL,Track Number,Continent,Country,Artist Photo URL
0,1,APT.,ROSÉ,APT.,2024-10-18,94,169917,False,5vNRhkKd0yEAg8suGBpjeY,https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178727a1f1f508238a20ac9fdbf
1,2,Love Me Again,V,Layover,2023-08-11,86,182293,False,2N0SPREDYqILVEFSsWF5N5,https://p.scdn.co/mp3-preview/7cf9f9fce7c6ea14a19134d84a3034fef7067f0a?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788e7d00d3aae87cf8fc6946e2
2,3,Who,Jimin,MUSE,2024-07-19,92,170887,False,7tI8dRuH2Yc6RuoTjxo4dU,https://p.scdn.co/mp3-preview/02687a01e9ec00f4e947f39e910c7e0c6fa83e10?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178cb08296cca5a2d197caabb79
3,4,Mantra,JENNIE,Mantra,2024-10-10,88,136627,True,2CspwnypzT7rcWI9RfsoSb,https://p.scdn.co/mp3-preview/58b05e8438c0ed7316e85fed6267f467612efa06?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178cab652097be01bf194cdf11d
4,5,Whiplash,aespa,Whiplash - The 5th Mini Album,2024-10-21,76,183226,False,6uPnrBgweGOcwjFL4ItAvV,https://p.scdn.co/mp3-preview/cef9eef942b2a5f9cde819ba21f01fdc655395c8?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
5,6,FRI(END)S,V,FRI(END)S,2024-03-15,86,148082,False,0PBTlQ84CBJF0tBnKGmQa6,https://p.scdn.co/mp3-preview/16b48678c9055a80ccd96205052682890b3d98a0?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788e7d00d3aae87cf8fc6946e2
6,7,UP - KARINA Solo,aespa,SYNK : PARALLEL LINE - Special Digital Single,2024-10-09,81,166640,False,5sjnkOfTLCLNfkkchI2re2,https://p.scdn.co/mp3-preview/c196a85dd94b68af028cfb022a5b8874317b3b7f?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
7,8,Cherish (My Love),ILLIT,Cherish (My Love) (Remixes),2024-10-28,0,176854,False,21LtZQQMQYwVIxc9O9Ygq8,https://p.scdn.co/mp3-preview/13d4c235714d9b62d5288e8147e5f062eb5fedc2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17832863b8dca4574c09e4b9295
8,9,Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,251667,False,2plbrEY59IikOBgBGLjaoe,,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784b09cd0839c6129c29d22f79
9,10,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),2024-10-03,89,155757,False,3yDRcs0Y4pPzkvMbUfeF9H,https://p.scdn.co/mp3-preview/c5f0c62bf441704559d8937425eaf732b1e09d79?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178426faee7010fa829bb527cfb
10,11,運轉人生 - 影集《華麗計程車行》插曲,邱軍,情歌手,2024-02-23,63,208274,False,30slz6D2PtbwDimGJaEVsH,https://p.scdn.co/mp3-preview/42029e5f7382885493d3872413f3b13bc4de3af5?cid=0bb3eb6005f44507983d0b4982473814,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1781c9eabc018b413fa52390b37
11,12,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,98,210373,False,6dOtVTDdiauQNBQEDOtlAB,,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da
12,13,擱淺,Jay Chou,七里香,2004-08-03,60,238133,False,56mzU03ZesV0iRroHR2K04,https://p.scdn.co/mp3-preview/2e28d2cb09413d1371d167cb5c1a9413c5006901?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
13,14,"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,SEVENTEEN 12th Mini Album 'SPILL THE FEELS',2024-10-14,79,186386,False,145tqlcE6YFsjNfxi9K3AE,https://p.scdn.co/mp3-preview/8dbabfc916c1097400df2dd84c6162226c451973?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788912a840e637dacc0d5c7828
14,15,I'll Be There,Jin,I'll Be There,2024-10-25,82,181677,False,2Qcbspnftnon37jibwyvMU,https://p.scdn.co/mp3-preview/986d45307a67d89e75212dc22dd8668d9867604e?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178ca4f165e62fbf5ab5a3750ba
15,16,Slow Dancing,V,Layover,2023-09-08,79,187026,False,5h1BN75CEh8wdSwE1xrbSe,https://p.scdn.co/mp3-preview/0a655b364caef39379d42b81d656fabed20539d6?cid=0bb3eb6005f44507983d0b4982473814,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788e7d00d3aae87cf8fc6946e2
16,17,離開的一路上,理想混蛋,半熟理想,2023-10-27,64,254961,False,1NoDTQhJsrd5rnpb6PQthK,https://p.scdn.co/mp3-preview/c1d310c59ebaf7e9266681c38190a5a056498e9f?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178328fd29f4d50fc8ce7908d90
17,18,Magnetic,ILLIT,SUPER REAL ME,2024-03-25,84,160688,False,1aKvZDoLGkNMxoRYgkckZG,https://p.scdn.co/mp3-preview/b3e85d7434b5fb072c7110197b3b896d04aa90e7?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17832863b8dca4574c09e4b9295
18,19,晴天,Jay Chou,葉惠美,2003-07-29,59,269746,False,2zjo2j5j3S0Nk21LKCgc8L,https://p.scdn.co/mp3-preview/e6d81b0f9fbfdc3224d549cdcbfab55320ea2165?cid=0bb3eb6005f44507983d0b4982473814,3,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
19,20,Supernova,aespa,Armageddon - The 1st Album,2024-05-27,73,178880,False,2VdSktBqFfkW7y6q5Ik4Z4,https://p.scdn.co/mp3-preview/fae5cb7ad4fe231a7537745c6e82a0b594fcca77?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
20,21,Touch,KATSEYE,Touch,2024-07-26,86,129882,False,6aJn7Cst74cj4lNIiPRgav,,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178031e8e2a9c4893810a02f863
21,22,Run Away,TZUYU,abouTZU,2024-09-06,73,198320,False,2Ti4DCTo6Ag7QvaYex8A8B,https://p.scdn.co/mp3-preview/a1c90c833e9d1e6313a053ae4afea21990b6887c?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1782b714d68a9dbb8cd6ea11901
22,23,在加納共和國離婚,Firdhaus,在加納共和國離婚,2023-08-14,67,261000,False,6GyUt7yJ0sOktc5HjvVnFh,https://p.scdn.co/mp3-preview/e3a8452339a69aea0e4abbe741336f8c6a4ccbf4?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1786f9e419c4ae583483afcd152
23,24,愛情的大壞蛋,Amazing Show,Amazing Show同名專輯,2024-09-30,59,187266,False,5HVq8nS0pbM6G7YK8M7DY4,https://p.scdn.co/mp3-preview/e1e53e541543ac254630fef3e6ebf4b6889183fe?cid=0bb3eb6005f44507983d0b4982473814,11,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1782d95dc9d4a3b9f38476a1608
24,25,能遇見，就很不錯了,Firdhaus,能遇見，就很不錯了,2024-06-30,66,229655,False,2ASWo8MTESnHQhJhpMSPbF,https://p.scdn.co/mp3-preview/119ab85eeabd7353fb4f2ecaad1533b76d5c82a5?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1786f9e419c4ae583483afcd152
25,26,Armageddon,aespa,Armageddon - The 1st Album,2024-05-27,75,196466,False,5eWcGfUCrVFMoYskyfkEPE,https://p.scdn.co/mp3-preview/d56cbbdb9029755189dd4e81a9fb7698e8346094?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
26,27,Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,88,175459,True,2HRqTpkrJO5ggZyyK6NPWz,,7,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178e053b8338322b9c8609ee7ae
27,28,Night Changes,One Direction,FOUR (Deluxe),2014-11-17,90,226600,False,5O2P9iiztwhomNh8xkR9lJ,https://p.scdn.co/mp3-preview/359be833b46b250c696bbb64caa5dc91f2a38c6a?cid=0bb3eb6005f44507983d0b4982473814,7,Asia,Taiwan,https://i.scdn.co/image/45741ba38b51130bb96e00c0e24d17ba311a9293
28,29,如果爱忘了 - Live,Silence Wang,如果爱忘了 (Live),2024-02-27,65,245394,False,4JBZuPALOvU2PC8E7t02vY,https://p.scdn.co/mp3-preview/b815fb2a9233257391296c669a21c0afd5c107f1?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178e031c2c433fefe3fd10f5caa
29,30,CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),2024-09-02,80,164554,False,4gxEY3Mh5FZZDAJAKPNrCS,https://p.scdn.co/mp3-preview/c87839ff1ddad65a7ebb758bae38fee971dceab2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178d7d7064b17d00c6f8755eae6
30,31,七里香,Jay Chou,七里香,2004-08-03,56,297200,False,2g1MHSbgxhcOEKpeWG4pZT,https://p.scdn.co/mp3-preview/e9973e65f0c8447ba584ead6b40291d309be4fbf?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
31,32,MEOW,MEOVV,MEOW,2024-09-06,76,172073,False,72gPDy1zVt95zVNali0IhK,https://p.scdn.co/mp3-preview/ff26addebdc76c5f8ba10bc525f01bad52f95989?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784a73e7e22c86df6feeb81379
32,33,這麼多年 - 電影《我想和你在一起》插曲,陳華,這麼多年 - 電影《我想和你在一起》插曲,2024-06-07,60,252000,False,5NykvdFrH8mejmohWZvIWo,https://p.scdn.co/mp3-preview/319aab0496c91a15ca993c7bc32717272b033161?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17852215ee8e96cfbb91da8f9c0
33,34,Hold On,高爾宣 OSN,Hold On,2024-06-14,63,180121,False,580BvW3DyUNoYFgQgoD2GI,https://p.scdn.co/mp3-preview/e6cab10e10082bbd817ef2152e37142a8bc7243b?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784d833125cdb31b9110a95e01
34,35,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,2023-11-03,85,183550,True,2HRgqmZQC0MC7GeNuDIXHN,https://p.scdn.co/mp3-preview/c6f315711a77fba52139f54587afa7e7d16a1232?cid=0bb3eb6005f44507983d0b4982473814,3,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17840a7268dd742e5f63759b960
35,36,FOREVER,BABYMONSTER,FOREVER,2024-07-01,77,212734,False,0Md02V4hwKO5Vu5B7GD8tQ,https://p.scdn.co/mp3-preview/dd5c569229b50491597683b47327ff9a76e7ce55?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178c88257a512bc6cec18b7bc12
36,37,Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,94,157279,False,5G2f63n7IPVPPjfNIGih7Q,,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178e053b8338322b9c8609ee7ae
37,38,SPOT!,ZICO,SPOT!,2024-04-26,78,167706,False,1SS0WlKhJewviwEDZ6dWj0,https://p.scdn.co/mp3-preview/735108c7d5185af48b47014d816a65a2c3048a50?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178bc333412dcb39d8ef2bd91cc
38,39,說好不哭,Jay Chou,最偉大的作品,2022-07-14,55,220693,False,39tEWctWn3a4fmocz97cXg,https://p.scdn.co/mp3-preview/8e9d4ceaaf98bbd51064f617a8e4a15fcb4b0094?cid=0bb3eb6005f44507983d0b4982473814,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
39,40,Small girl (feat. D.O.),Lee Young Ji,16 Fantasy,2024-06-21,72,189706,False,1AtFSBJibfaqfiOByQCwZ5,https://p.scdn.co/mp3-preview/0beb93ce696fd775dd0a06644bf3851e64c0c62d?cid=0bb3eb6005f44507983d0b4982473814,3,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788fdf3504948498378df71140
40,41,有些,颜人中,失眠症候群,2019-12-14,64,229523,False,3V2v19gDm4rmRkMwcgS4X2,https://p.scdn.co/mp3-preview/cb7f5e60c73566cfd9ed25ef14308cf8dfa3904e?cid=0bb3eb6005f44507983d0b4982473814,3,Asia,Taiwan,https://i.scdn.co/image/ab67616d00004851c17714a11ba7db7fda4787fe
41,42,How Sweet,NewJeans,How Sweet,2024-05-24,79,219026,False,38tXZcL1gZRfbqfOG0VMTH,https://p.scdn.co/mp3-preview/690e6951640ac995e47d19dc13ab44e9de9067f2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17880668ba2b15094d083780ea9
42,43,Cruel Summer,Taylor Swift,Lover,2019-08-23,89,178426,False,1BxfuPKGuaTgP7aM0Bbdwr,,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178e672b5f553298dcdccb0e676
43,44,Klaxon,(G)I-DLE,I SWAY,2024-07-08,71,175106,False,294hRgOqnGW2BemqP8D35X,https://p.scdn.co/mp3-preview/0e42d0f4719a3c2df807645e271c7a11bf7a786c?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1787fd16327c86d500f83be1d6a
44,45,不是因為天氣晴朗才愛你,理想混蛋,不是因為天氣晴朗才愛你,2018-08-06,62,240753,False,2VEt42QSQxILgEf9B50xxm,https://p.scdn.co/mp3-preview/ebf5912aa17f5a6c63ed90f0319760f3c2f4707a?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178328fd29f4d50fc8ce7908d90
45,46,珊瑚海,Jay Chou,11月的蕭邦,2005-11-01,55,256333,False,6rbZXBUHrCeh1ba03E5uaY,https://p.scdn.co/mp3-preview/01be5b90c5e4c0101df737d4021ab53765f80013?cid=0bb3eb6005f44507983d0b4982473814,10,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
46,47,說好的幸福呢,Jay Chou,魔杰座,2008-10-15,55,256720,False,6Cf5agUuljOk4nSYZCOtoQ,https://p.scdn.co/mp3-preview/e0dd363931332445e27d65cb00f22ecdf83e10e5?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
47,48,楓,Jay Chou,11月的蕭邦,2005-11-01,55,277026,False,2lIb7a074DL4RLCPAaGdnu,https://p.scdn.co/mp3-preview/6a56e27c41f7a8c80a10526e81f53ffa873fbaec?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
48,49,SHEESH,BABYMONSTER,BABYMONS7ER,2024-04-01,79,170356,False,1njlnn8ZKHI77Pe9szIONR,https://p.scdn.co/mp3-preview/c42b439d875aef0b68e86f0490b4692cbd0b6b76?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178c88257a512bc6cec18b7bc12
49,50,字字句句,卢卢快闭嘴,字字句句,2022-12-29,65,200000,False,7fAdinC2UTc0Y9GiKrkTtu,https://p.scdn.co/mp3-preview/57a0abaa64dce7305434470b3093b4a49cbc77e9?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab67616d00004851684a1e58b82964609fcf7158
50,1,Bunny Girl,AKASAKI,Bunny Girl,2024-10-02,75,217492,False,5skCbGGAnc7Ns18Figz54h,,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178e35d9c95162716a7cf6b4ea4
51,2,APT.,ROSÉ,APT.,2024-10-18,94,169917,False,5vNRhkKd0yEAg8suGBpjeY,https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178727a1f1f508238a20ac9fdbf
52,3,オトノケ - Otonoke,Creepy Nuts,オトノケ - Otonoke,2024-10-04,83,185626,False,6KYOlIwDHbrbeBbJEtQ0Fj,https://p.scdn.co/mp3-preview/819fcba67691be8a7016349cfed5c62efb6d70b2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f17871c03bb9c1fe71f40a5fe1dc
53,4,ライラック,Mrs. GREEN APPLE,ライラック,2024-04-11,77,288200,False,78W4mTLIh4qoLu92W4IQhO,,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
54,5,Who,Jimin,MUSE,2024-07-19,92,170887,False,7tI8dRuH2Yc6RuoTjxo4dU,https://p.scdn.co/mp3-preview/02687a01e9ec00f4e947f39e910c7e0c6fa83e10?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Japan,https://i.scdn.co/image/ab6761610000f178cb08296cca5a2d197caabb79
55,6,familie,Mrs. GREEN APPLE,familie,2024-08-08,76,222714,False,4PCQHOJFMV9BWq46UMVf2l,,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
56,7,Whiplash,aespa,Whiplash - The 5th Mini Album,2024-10-21,63,183226,False,7Cnpb1vBbC46RgVyyKLH7p,https://p.scdn.co/mp3-preview/cef9eef942b2a5f9cde819ba21f01fdc655395c8?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
57,8,Same Blue,OFFICIAL HIGE DANDISM,Same Blue,2024-10-02,71,237836,False,3tRgmNTaFYgtbt7XCy6Les,https://p.scdn.co/mp3-preview/97667fa139674fd700ab47ee72533ea89f8ae6f6?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178f9f7513528a90d1dde6d3aaa
58,9,ケセラセラ,Mrs. GREEN APPLE,ANTENNA,2023-07-04,73,272226,False,0teqQ0PYqVDyyXJuPOyMhu,,5,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
59,10,NEW LOOK,MISAMO,NEW LOOK,2024-10-09,71,196680,False,451U7NEyfqtVefeIgSoJF0,https://p.scdn.co/mp3-preview/433dd1aa66560a49fff2f43b39c35d1810db9df3?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f1788bb0411b0375cd719eac306b
60,11,青と夏,Mrs. GREEN APPLE,Attitude,2019-10-01,72,270026,False,5BC6kr6etk2Y9J62AyI4i3,,8,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
61,12,Bling-Bang-Bang-Born,Creepy Nuts,Bling-Bang-Bang-Born,2024-01-07,80,168135,False,0kdqcbwei4MDWFEX5f33yG,https://p.scdn.co/mp3-preview/1c5db91080b8b9b6ccef484b5da12f280d89b81f?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f17871c03bb9c1fe71f40a5fe1dc
62,13,幾億光年,Omoinotake,幾億光年,2024-01-24,73,276918,False,4dmruTsdHIOjfOIeaFitXK,https://p.scdn.co/mp3-preview/ea07c98661813cc0e3d960229654012929560f7a?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f17835a9024ca7705c82eed322a0
63,14,Soranji,Mrs. GREEN APPLE,ANTENNA,2023-07-04,70,343253,False,3YML5IHoqWbw9c9vJJvrvM,,6,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
64,15,花束,back number,スーパースター,2011-10-26,71,286053,False,3QIAwtEEDOrv0g5NKCGrXZ,,3,Asia,Japan,https://i.scdn.co/image/ab6761610000f178561bf1e63b7fe992f5ed0cf8
65,16,はいよろこんで,Kocchi no Kento,はいよろこんで,2024-05-27,71,161632,False,41xGcFvQsGYQs0RDFvPfv3,https://p.scdn.co/mp3-preview/799625775aae5b972a27d6da50a5693bd378dc8c?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f17861f9b2d32a9dbfb31171d18e
66,17,新しい恋人達に,back number,新しい恋人達に,2024-07-15,73,286546,False,5LclntckGFFGFUVGJk9Z4x,,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178561bf1e63b7fe992f5ed0cf8
67,18,ダンスホール,Mrs. GREEN APPLE,ダンスホール,2022-05-23,72,203149,False,4NaaF28BeO9WzjDrSS71Nz,,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
68,19,I wonder,Da-iCE,MUSi-aM,2024-10-02,65,158343,False,0voOaunLYYqPHrsgXbFVlW,https://p.scdn.co/mp3-preview/383d990122e282f6fa6ae0c3b9f24aae2b2bc3e2?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Japan,https://i.scdn.co/image/ab6761610000f178eb54334b4860aead55b75403
69,20,点描の唄,Mrs. GREEN APPLE,青と夏,2018-07-31,72,307066,False,1sIIlVrnPhrvmTrHtzM7tV,,2,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
70,21,Magic,Mrs. GREEN APPLE,ANTENNA,2023-07-04,71,263106,False,170XOP1T4MvY9TLTgPw07D,,2,Asia,Japan,https://i.scdn.co/image/ab6761610000f178968120b0312a7893ec391560
71,22,アポリア,ヨルシカ,アポリア,2024-10-07,69,230209,False,7ugSlmtBWNMAgTpdvBPcIh,,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178e62cff9c6018ae5616b01eab
72,23,カーテンコール,Yuuri,カーテンコール,2024-07-19,74,243026,False,1nysdCpKAh6yif4JkmoiNy,https://p.scdn.co/mp3-preview/9b13835b86185f8a0ed873a38018c5a68c9090aa?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f1782f68be1a1a95221976c0fbba
73,24,INZM,Number_i,No.Ⅰ,2024-09-23,69,214241,False,1JdUw14vtWg9Vt4aRfHqwl,https://p.scdn.co/mp3-preview/40a72884e2a5ec41f368a06502b083966d8a82f1?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178346774711e20312e9e98f0a1
74,25,怪獣の花唄,Vaundy,strobo,2020-05-27,72,224804,False,7dTW21YAJxnAOiUh7Rtu9S,https://p.scdn.co/mp3-preview/ab946774c8f2e6c04aef35060bfbdb53d573f1cd?cid=0bb3eb6005f44507983d0b4982473814,4,Asia,Japan,https://i.scdn.co/image/ab6761610000f178b6e409f6c3d8b08a2f52072e
75,26,高嶺の花子さん,back number,ラブストーリー,2014-03-26,71,294813,False,2jdbZGFp8KVTuk0YxDNL4l,,6,Asia,Japan,https://i.scdn.co/image/ab6761610000f178561bf1e63b7fe992f5ed0cf8
76,27,IYKYK,XG,IYKYK,2024-10-11,74,180000,False,2lkhdnz6pWlErZuRLnBXTt,https://p.scdn.co/mp3-preview/3be2f1503d285407ede322473e08666f656002e3?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178853ade83174467adbbb14ddf
77,28,元彼女のみなさまへ,Koresawa,元彼女のみなさまへ,2024-09-04,70,248613,False,0H3RFIhXuuRoQyNKYdvSbn,https://p.scdn.co/mp3-preview/a25ae24b09e01cc6f51eba4fa6808cdd21e902b3?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f17898741f318b25a30726474ad2
78,29,CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),2024-09-02,80,164554,False,4gxEY3Mh5FZZDAJAKPNrCS,https://p.scdn.co/mp3-preview/c87839ff1ddad65a7ebb758bae38fee971dceab2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178d7d7064b17d00c6f8755eae6
79,30,晩餐歌,tuki.,晩餐歌,2023-09-29,72,215853,False,2cxcqKwQtfKq7giphxjzOu,https://p.scdn.co/mp3-preview/5f27c958d55f3485ad414bfcf1731430bda47335?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f1788f46c09be6b50e67ecfbcbb7
80,31,水平線,back number,ユーモア,2023-01-17,70,288013,False,3RvdkNMcSy71m0aT6UF9Uf,,12,Asia,Japan,https://i.scdn.co/image/ab6761610000f178561bf1e63b7fe992f5ed0cf8
81,32,ねっこ,King Gnu,ねっこ,2024-10-21,63,239728,False,4btYb7Tfjw5bQazC6bQXpl,https://p.scdn.co/mp3-preview/3629a3145d1d2cbdbc989ed41fd18dd6a4ae96ba?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178a37245f3231e8c66116638e1
82,33,GOAT,Number_i,No.Ⅰ,2024-09-23,67,160794,False,7rA2RuTx1dHadrZcoKh8O9,https://p.scdn.co/mp3-preview/e1fb19ebf61ebe0067defdc557af71a0caa76e5c?cid=0bb3eb6005f44507983d0b4982473814,10,Asia,Japan,https://i.scdn.co/image/ab6761610000f178346774711e20312e9e98f0a1
83,34,BON,Number_i,No.O -ring-,2024-05-27,70,203029,False,3FzRKDirkUsApk11WEz1wz,https://p.scdn.co/mp3-preview/0f087f8a06ede13623d0ee60f34b54bf796784ae?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Japan,https://i.scdn.co/image/ab6761610000f178346774711e20312e9e98f0a1
84,35,Magnetic,ILLIT,SUPER REAL ME,2024-03-25,84,160688,False,1aKvZDoLGkNMxoRYgkckZG,https://p.scdn.co/mp3-preview/b3e85d7434b5fb072c7110197b3b896d04aa90e7?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Japan,https://i.scdn.co/image/ab6761610000f17832863b8dca4574c09e4b9295
